sector,yearly_return
RETAILING,1.1330539932556505
DEFENCE,1.017600574712644
POWER,0.6018409528819612
AUTOMOBILES,0.5452653707510527
MINING,0.41846522781774587
SOFTWARE,0.38275954166627263
CEMENT,0.3697094486387553
ENERGY,0.36564787601839294
MISCELLANEOUS,0.36103081382860147
ALUMINIUM,0.3586831961662673
TEXTILES,0.35781988044977653
PHARMACEUTICALS,0.31379173001529126
,0.20133046209615904
STEEL,0.1921712461457319
ENGINEERING,0.1725372163019605
INSURANCE,0.11767832027533365
FINANCE,0.11576063201001448
BANKING,0.11380534233917362
FOOD & TOBACCO,0.04321734389748766
FMCG,-0.00957916481023946
PAINTS,-0.21935045865765668
